"Cat","HotSpotterCatName","New Name"
"Cat23","cat_5","01__Station05__Camera1__2012-6-19__1-56-36(4).JPG"
"Cat23","cat_5","01__Station05__Camera1__2012-6-19__1-56-56(1).JPG"
"Cat23","cat_5","01__Station05__Camera1__2012-6-19__1-56-58(6).JPG"
"Cat23","cat_5","01__Station05__Camera1__2012-6-19__1-57-6(3).JPG"
"Cat21","cat_1","01__Station05__Camera1__2012-7-26__13-24-42(7).JPG"
"Cat21","cat_1","01__Station05__Camera1__2012-7-26__13-25-4(4).JPG"
"Cat21","cat_1","01__Station05__Camera1__2012-7-26__13-26-2(6).JPG"
"Cat23","cat_2","01__Station05__Camera1__2012-9-10__11-48-16(5).JPG"
"Cat23","cat_2","01__Station05__Camera1__2012-9-10__11-48-16(6).JPG"
"Cat2","cat_5","02__Station06__Camera1__2012-7-10__3-22-34(2).JPG"
"Cat2","cat_5","02__Station06__Camera1__2012-7-10__3-22-36(5).JPG"
"Cat2","cat_5","02__Station06__Camera1__2012-7-10__3-22-50(6).JPG"
"Cat2","cat_5","02__Station06__Camera1__2012-7-10__3-23-20(4).JPG"
"Cat2","cat_3","02__Station06__Camera1__2012-8-18__8-30-22(2).JPG"
"Cat2","cat_3","02__Station06__Camera1__2012-8-18__8-30-8(4).JPG"
"Cat11\Cat12","cat_5","02__Station10__Camera1__2012-9-9__4-54-34(7).JPG"
"Cat4","cat_4","02__Station13__Camera1__2012-7-18__6-46-56(2).JPG"
"Cat4","cat_4","02__Station13__Camera1__2012-7-18__6-47-28(6).JPG"
"Cat4","cat_4","02__Station13__Camera1__2012-7-18__6-47-4(2).JPG"
"Cat4","cat_4","02__Station13__Camera1__2012-7-18__6-47-44(9).JPG"
"Cat4","cat_4","02__Station13__Camera1__2012-7-18__6-47-6(6).JPG"
"Cat3","cat_5","02__Station13__Camera1__2012-8-22__20-24-28(6).JPG"
"Cat3","cat_5","02__Station13__Camera1__2012-8-22__20-24-34(1).JPG"
"Cat3","cat_5","02__Station13__Camera1__2012-8-22__20-25-2(8).JPG"
"Cat3","cat_5","02__Station13__Camera1__2012-8-22__20-26-14(8).JPG"
"Cat11\Cat12","cat_5","02__Station13__Camera1__2012-8-6__12-17-20(2).JPG"
"Cat11\Cat12","cat_5","02__Station13__Camera1__2012-8-6__12-17-22(4).JPG"
"Cat11\Cat12","cat_5","02__Station13__Camera1__2012-8-6__12-17-56(5).JPG"
"Cat11\Cat12","cat_5","02__Station13__Camera1__2012-8-6__12-18-10(1).JPG"
"Cat1","cat_5","02__Station14__Camera1__2012-7-24__21-55-30(2).JPG"
